id_obra,cidade,tipo_solo,nivel_chuva,risco_medio,pior_etapa,risco_pior,material_critico,taxa_insucesso
CCbjj-8646,São Paulo,Argiloso,78,9.13,Acabamento,11.91,Areia,0.8
CCbjj-8647,Fortaleza,Arenoso,219,9.74,Estrutura,12.65,Tintas,0.55
CCbjj-8648,Salvador,Rochoso,90,6.33,Estrutura,8.42,Areia,0.45
CCbjj-8649,Manaus,Arenoso,287,10.04,Acabamento,11.58,Tintas,0.72
CCbjj-8650,São Paulo,Argiloso,93,8.01,Acabamento,9.2,Piso,0.74
CCbjj-8651,Manaus,Rochoso,119,11.02,Acabamento,10.21,Revestimento,0.57
CCbjj-8652,Rio de Janeiro,Argiloso,220,11.96,Fundação,10.09,Brita,0.69
CCbjj-8653,Curitiba,Rochoso,137,7.96,Estrutura,9.0,Piso,0.82
CCbjj-8654,Salvador,Argiloso,217,7.12,Acabamento,10.21,Brita,0.87
CCbjj-8655,Belém,Siltoso,255,6.82,Fundação,12.47,Madeira,0.6
CCbjj-8656,Recife,Arenoso,198,9.51,Fundação,11.12,Tintas,0.46
CCbjj-8657,Salvador,Rochoso,199,9.83,Acabamento,10.04,Brita,0.53
CCbjj-8658,Salvador,Siltoso,95,8.48,Acabamento,8.64,Areia,0.32
CCbjj-8659,Fortaleza,Arenoso,84,8.52,Estrutura,11.33,Cimento,0.38
CCbjj-8660,Belém,Argiloso,277,7.43,Fundação,8.91,Brita,0.88
CCbjj-8661,Curitiba,Arenoso,91,9.1,Fundação,8.59,Aço,0.4
CCbjj-8662,Recife,Siltoso,65,9.52,Estrutura,11.4,Areia,0.77
CCbjj-8663,Porto Alegre,Siltoso,136,8.5,Fundação,8.39,Madeira,0.77
CCbjj-8664,Recife,Siltoso,238,10.48,Acabamento,9.18,Madeira,0.9
CCbjj-8665,Curitiba,Arenoso,227,7.09,Acabamento,11.25,Revestimento,0.58
CCbjj-8666,Fortaleza,Siltoso,86,10.96,Fundação,8.62,Aço,0.87
CCbjj-8667,Curitiba,Arenoso,227,7.28,Acabamento,11.69,Revestimento,0.44
CCbjj-8668,Porto Alegre,Arenoso,242,10.07,Estrutura,11.64,Madeira,0.47
CCbjj-8669,São Paulo,Arenoso,218,6.22,Estrutura,11.29,Aço,0.47
CCbjj-8670,São Paulo,Argiloso,106,7.04,Estrutura,10.83,Madeira,0.56
CCbjj-8671,Fortaleza,Siltoso,246,7.67,Estrutura,12.69,Piso,0.69
CCbjj-8672,Curitiba,Arenoso,259,11.75,Fundação,8.05,Piso,0.71
CCbjj-8673,Manaus,Arenoso,156,9.08,Fundação,8.2,Areia,0.68
CCbjj-8674,Recife,Argiloso,290,9.69,Estrutura,11.03,Cimento,0.84
CCbjj-8675,Belo Horizonte,Arenoso,169,8.08,Fundação,9.9,Cimento,0.8
CCbjj-8676,Manaus,Argiloso,284,10.17,Estrutura,12.32,Piso,0.55
CCbjj-8677,Manaus,Rochoso,108,8.91,Estrutura,12.6,Areia,0.37
CCbjj-8678,Recife,Siltoso,254,9.96,Estrutura,8.12,Aço,0.33
CCbjj-8679,Salvador,Siltoso,256,9.57,Estrutura,10.69,Brita,0.61
CCbjj-8680,Porto Alegre,Arenoso,292,11.0,Fundação,8.89,Cimento,0.7
CCbjj-8681,Manaus,Siltoso,179,7.53,Fundação,10.41,Tintas,0.87
CCbjj-8682,Rio de Janeiro,Rochoso,236,7.22,Acabamento,8.59,Revestimento,0.58
CCbjj-8683,Fortaleza,Argiloso,170,10.0,Acabamento,11.05,Tintas,0.84
CCbjj-8684,Recife,Siltoso,166,10.46,Acabamento,9.39,Madeira,0.85
CCbjj-8685,Belo Horizonte,Rochoso,227,11.62,Fundação,10.95,Madeira,0.81
CCbjj-8686,Fortaleza,Siltoso,80,8.14,Estrutura,8.33,Madeira,0.78
CCbjj-8687,Fortaleza,Arenoso,54,10.96,Acabamento,11.41,Cimento,0.55
CCbjj-8688,Belém,Rochoso,112,10.82,Fundação,11.71,Areia,0.46
CCbjj-8689,Recife,Siltoso,227,11.13,Estrutura,11.83,Revestimento,0.85
CCbjj-8690,Belo Horizonte,Argiloso,197,9.17,Fundação,11.01,Revestimento,0.67
CCbjj-8691,São Paulo,Rochoso,90,10.92,Estrutura,9.06,Cimento,0.33
CCbjj-8692,Manaus,Siltoso,257,9.23,Fundação,11.88,Cimento,0.59
CCbjj-8693,Recife,Arenoso,183,6.59,Acabamento,12.7,Brita,0.31
CCbjj-8694,São Paulo,Arenoso,234,11.58,Estrutura,11.48,Brita,0.43
CCbjj-8695,Belém,Rochoso,190,8.76,Estrutura,10.6,Areia,0.53
CCbjj-8696,Rio de Janeiro,Arenoso,244,8.52,Fundação,8.02,Madeira,0.61
CCbjj-8697,Porto Alegre,Siltoso,218,9.34,Acabamento,12.61,Revestimento,0.52
CCbjj-8698,Curitiba,Arenoso,202,8.77,Estrutura,8.02,Piso,0.84
CCbjj-8699,Recife,Arenoso,210,6.86,Estrutura,12.91,Areia,0.51
CCbjj-8700,São Paulo,Argiloso,100,9.66,Acabamento,9.08,Areia,0.38
CCbjj-8701,Salvador,Siltoso,279,9.44,Acabamento,12.04,Cimento,0.37
CCbjj-8702,São Paulo,Argiloso,96,7.73,Acabamento,11.44,Areia,0.82
CCbjj-8703,Manaus,Arenoso,181,8.3,Fundação,8.19,Aço,0.78
CCbjj-8704,Rio de Janeiro,Rochoso,266,7.09,Fundação,9.25,Piso,0.41
CCbjj-8705,Curitiba,Argiloso,55,7.54,Estrutura,9.51,Aço,0.73
CCbjj-8706,Belém,Rochoso,112,8.47,Fundação,9.47,Piso,0.6
CCbjj-8707,São Paulo,Rochoso,126,11.97,Fundação,8.77,Revestimento,0.31
CCbjj-8708,São Paulo,Arenoso,205,7.78,Acabamento,11.08,Tintas,0.6
CCbjj-8709,Salvador,Siltoso,126,8.05,Acabamento,8.34,Brita,0.33
CCbjj-8710,Belém,Rochoso,147,11.36,Acabamento,10.26,Madeira,0.6
CCbjj-8711,São Paulo,Argiloso,151,6.27,Estrutura,10.7,Tintas,0.78
CCbjj-8712,São Paulo,Arenoso,208,11.92,Estrutura,12.97,Tintas,0.63
CCbjj-8713,Manaus,Arenoso,136,9.31,Fundação,10.42,Areia,0.64
CCbjj-8714,Rio de Janeiro,Argiloso,281,9.51,Estrutura,9.64,Madeira,0.61
CCbjj-8715,Belém,Rochoso,108,7.94,Estrutura,12.43,Piso,0.37
CCbjj-8716,Fortaleza,Argiloso,276,9.46,Fundação,12.13,Tintas,0.59
CCbjj-8717,São Paulo,Arenoso,250,11.33,Estrutura,9.37,Revestimento,0.55
CCbjj-8718,Recife,Rochoso,267,9.55,Estrutura,11.07,Areia,0.51
CCbjj-8719,Curitiba,Siltoso,84,10.35,Estrutura,10.16,Revestimento,0.42
CCbjj-8720,Recife,Siltoso,199,9.38,Acabamento,12.22,Brita,0.46
CCbjj-8721,Belém,Argiloso,75,10.82,Fundação,12.73,Madeira,0.5
CCbjj-8722,Rio de Janeiro,Argiloso,282,11.84,Fundação,8.78,Areia,0.44
CCbjj-8723,Rio de Janeiro,Rochoso,133,7.21,Acabamento,9.02,Areia,0.65
CCbjj-8724,Fortaleza,Argiloso,105,6.94,Estrutura,10.97,Areia,0.32
CCbjj-8725,Rio de Janeiro,Arenoso,232,8.62,Fundação,10.45,Brita,0.55
CCbjj-8726,Belém,Rochoso,127,11.93,Fundação,11.86,Madeira,0.8
CCbjj-8727,Manaus,Siltoso,165,10.24,Estrutura,8.58,Tintas,0.88
CCbjj-8728,Salvador,Siltoso,85,8.14,Estrutura,9.18,Piso,0.56
CCbjj-8729,São Paulo,Rochoso,286,7.62,Estrutura,9.71,Piso,0.84
CCbjj-8730,Fortaleza,Rochoso,74,6.77,Acabamento,8.64,Tintas,0.34
CCbjj-8731,Recife,Siltoso,101,9.73,Fundação,12.49,Areia,0.81
CCbjj-8732,Rio de Janeiro,Argiloso,272,6.03,Fundação,12.38,Madeira,0.65
CCbjj-8733,Salvador,Rochoso,87,6.51,Fundação,10.52,Revestimento,0.67
CCbjj-8734,Rio de Janeiro,Arenoso,71,8.84,Fundação,10.2,Madeira,0.78
CCbjj-8735,Porto Alegre,Argiloso,159,9.61,Fundação,12.56,Tintas,0.33
CCbjj-8736,Salvador,Argiloso,239,10.11,Fundação,10.07,Cimento,0.53
CCbjj-8737,Manaus,Argiloso,81,8.0,Estrutura,12.45,Madeira,0.47
CCbjj-8738,Salvador,Siltoso,187,8.39,Estrutura,9.66,Brita,0.33
CCbjj-8739,Manaus,Argiloso,214,9.42,Acabamento,9.77,Madeira,0.63
CCbjj-8740,Belém,Rochoso,249,6.58,Acabamento,8.74,Areia,0.64
CCbjj-8741,Belo Horizonte,Rochoso,235,10.77,Estrutura,12.17,Aço,0.61
CCbjj-8742,Curitiba,Siltoso,160,7.88,Fundação,9.32,Revestimento,0.3
CCbjj-8743,São Paulo,Rochoso,291,9.5,Fundação,11.53,Tintas,0.51
CCbjj-8744,Belém,Arenoso,54,11.89,Fundação,8.19,Areia,0.61
CCbjj-8745,Manaus,Argiloso,275,11.28,Estrutura,10.03,Areia,0.31
CCbjj-8746,Porto Alegre,Rochoso,196,6.83,Acabamento,11.86,Tintas,0.67
CCbjj-8747,São Paulo,Arenoso,232,6.97,Acabamento,8.21,Aço,0.5
CCbjj-8748,Manaus,Siltoso,219,10.77,Fundação,11.35,Aço,0.75
CCbjj-8749,Salvador,Arenoso,256,9.24,Acabamento,8.19,Cimento,0.38
CCbjj-8750,Salvador,Rochoso,145,10.38,Fundação,10.77,Areia,0.42
CCbjj-8751,Curitiba,Siltoso,239,9.57,Acabamento,9.76,Aço,0.34
CCbjj-8752,Belo Horizonte,Argiloso,148,6.55,Estrutura,9.5,Aço,0.62
CCbjj-8753,Recife,Arenoso,89,8.68,Acabamento,11.07,Piso,0.47
CCbjj-8754,Porto Alegre,Argiloso,175,6.99,Fundação,12.72,Madeira,0.51
CCbjj-8755,Recife,Siltoso,62,7.66,Acabamento,11.24,Madeira,0.4
CCbjj-8756,Salvador,Siltoso,81,10.8,Estrutura,10.59,Areia,0.74
CCbjj-8757,Belo Horizonte,Siltoso,75,6.66,Estrutura,9.82,Madeira,0.71
CCbjj-8758,Manaus,Argiloso,281,8.78,Acabamento,8.03,Areia,0.86
CCbjj-8759,Salvador,Rochoso,164,8.81,Estrutura,9.53,Areia,0.75
CCbjj-8760,São Paulo,Rochoso,117,11.23,Acabamento,9.55,Brita,0.51
CCbjj-8761,Porto Alegre,Rochoso,123,6.3,Acabamento,11.85,Areia,0.41
CCbjj-8762,Manaus,Arenoso,251,9.38,Fundação,12.7,Brita,0.76
CCbjj-8763,Salvador,Rochoso,236,11.6,Estrutura,9.52,Madeira,0.46
CCbjj-8764,Curitiba,Rochoso,172,6.45,Fundação,8.52,Aço,0.56
CCbjj-8765,São Paulo,Arenoso,206,6.52,Estrutura,8.11,Cimento,0.42
CCbjj-8766,Recife,Siltoso,172,6.22,Estrutura,11.54,Tintas,0.63
CCbjj-8767,Salvador,Argiloso,213,10.6,Estrutura,11.59,Revestimento,0.86
CCbjj-8768,Belém,Argiloso,171,10.3,Estrutura,10.5,Tintas,0.85
CCbjj-8769,Curitiba,Arenoso,200,8.65,Fundação,9.52,Madeira,0.48
CCbjj-8770,São Paulo,Arenoso,140,6.18,Acabamento,10.66,Madeira,0.62
CCbjj-8771,Salvador,Arenoso,120,9.72,Estrutura,8.35,Cimento,0.36
CCbjj-8772,Rio de Janeiro,Arenoso,56,6.08,Acabamento,11.62,Revestimento,0.62
CCbjj-8773,Belo Horizonte,Siltoso,224,8.93,Fundação,12.77,Piso,0.62
CCbjj-8774,Fortaleza,Argiloso,220,7.92,Fundação,11.08,Madeira,0.56
CCbjj-8775,Curitiba,Argiloso,109,11.1,Estrutura,8.98,Madeira,0.56
CCbjj-8776,Fortaleza,Arenoso,151,10.34,Fundação,9.7,Tintas,0.44
CCbjj-8777,Belém,Siltoso,277,9.71,Estrutura,9.35,Areia,0.78
CCbjj-8778,Curitiba,Siltoso,160,11.15,Fundação,9.21,Madeira,0.65
CCbjj-8779,Belém,Siltoso,170,11.52,Fundação,10.58,Cimento,0.81
CCbjj-8780,Fortaleza,Rochoso,252,6.62,Fundação,12.35,Piso,0.82
CCbjj-8781,Rio de Janeiro,Siltoso,151,6.56,Estrutura,9.47,Areia,0.62
CCbjj-8782,Salvador,Arenoso,88,9.07,Estrutura,8.28,Madeira,0.72
CCbjj-8783,Belo Horizonte,Arenoso,281,6.81,Estrutura,9.42,Tintas,0.82
CCbjj-8784,Rio de Janeiro,Siltoso,107,10.99,Acabamento,10.92,Tintas,0.38
CCbjj-8785,Recife,Rochoso,226,8.0,Acabamento,9.6,Madeira,0.45
CCbjj-8786,Fortaleza,Rochoso,57,8.53,Acabamento,8.13,Brita,0.4
CCbjj-8787,Curitiba,Argiloso,123,8.39,Acabamento,9.8,Revestimento,0.48
CCbjj-8788,São Paulo,Argiloso,201,7.12,Fundação,8.48,Areia,0.83
CCbjj-8789,Belém,Siltoso,244,7.82,Estrutura,8.24,Aço,0.49
CCbjj-8790,Salvador,Rochoso,254,11.02,Estrutura,9.32,Cimento,0.46
CCbjj-8791,Belém,Arenoso,274,10.39,Fundação,10.86,Aço,0.7
CCbjj-8792,Belo Horizonte,Siltoso,54,11.6,Fundação,10.18,Brita,0.68
CCbjj-8793,Belo Horizonte,Arenoso,86,11.42,Estrutura,10.75,Aço,0.32
CCbjj-8794,Recife,Argiloso,168,9.09,Estrutura,11.35,Brita,0.79
CCbjj-8795,Salvador,Argiloso,115,7.72,Fundação,12.33,Brita,0.88
CCbjj-8796,São Paulo,Arenoso,199,8.97,Fundação,9.05,Madeira,0.49
CCbjj-8797,Recife,Siltoso,240,6.75,Acabamento,11.01,Cimento,0.54
CCbjj-8798,São Paulo,Siltoso,74,7.43,Estrutura,9.3,Brita,0.43
CCbjj-8799,Manaus,Siltoso,127,10.54,Acabamento,11.8,Revestimento,0.48
CCbjj-8800,Belém,Siltoso,154,7.55,Fundação,12.44,Brita,0.62
CCbjj-8801,Manaus,Rochoso,148,7.81,Estrutura,9.53,Revestimento,0.38
CCbjj-8802,Fortaleza,Rochoso,53,8.0,Fundação,8.04,Brita,0.5
CCbjj-8803,Rio de Janeiro,Rochoso,272,6.05,Fundação,12.44,Aço,0.87
CCbjj-8804,Belo Horizonte,Arenoso,188,10.97,Estrutura,9.07,Cimento,0.87
CCbjj-8805,Rio de Janeiro,Siltoso,76,8.53,Acabamento,10.07,Brita,0.79
CCbjj-8806,Belém,Siltoso,220,9.28,Estrutura,12.81,Madeira,0.53
CCbjj-8807,Curitiba,Arenoso,154,10.56,Acabamento,10.65,Aço,0.48
CCbjj-8808,Rio de Janeiro,Rochoso,233,11.19,Estrutura,10.5,Brita,0.86
CCbjj-8809,Belém,Argiloso,200,9.44,Acabamento,11.64,Cimento,0.86
CCbjj-8810,Belém,Siltoso,123,7.94,Acabamento,10.7,Cimento,0.86
CCbjj-8811,Fortaleza,Rochoso,89,8.49,Estrutura,8.15,Tintas,0.71
CCbjj-8812,São Paulo,Arenoso,169,9.81,Fundação,10.65,Aço,0.7
CCbjj-8813,Porto Alegre,Rochoso,298,8.92,Fundação,11.08,Areia,0.67
CCbjj-8814,Recife,Argiloso,82,6.4,Fundação,10.61,Tintas,0.76
CCbjj-8815,Recife,Siltoso,170,8.74,Acabamento,9.41,Madeira,0.81
CCbjj-8816,Belém,Siltoso,90,10.62,Fundação,9.95,Areia,0.45
CCbjj-8817,Porto Alegre,Argiloso,149,9.35,Fundação,11.43,Piso,0.5
CCbjj-8818,Belo Horizonte,Rochoso,229,9.37,Estrutura,8.16,Areia,0.69
CCbjj-8819,São Paulo,Argiloso,143,6.41,Estrutura,8.87,Tintas,0.38
CCbjj-8820,Rio de Janeiro,Rochoso,101,7.93,Fundação,9.44,Piso,0.84
CCbjj-8821,Fortaleza,Rochoso,148,8.97,Acabamento,8.35,Revestimento,0.46
CCbjj-8822,Belo Horizonte,Argiloso,202,10.17,Fundação,11.0,Madeira,0.69
CCbjj-8823,Rio de Janeiro,Argiloso,242,10.26,Acabamento,10.18,Cimento,0.74
CCbjj-8824,Fortaleza,Arenoso,138,6.26,Acabamento,10.3,Brita,0.32
CCbjj-8825,Manaus,Argiloso,236,11.99,Fundação,12.08,Tintas,0.46
CCbjj-8826,Recife,Siltoso,159,8.99,Acabamento,10.54,Revestimento,0.6
CCbjj-8827,Manaus,Siltoso,218,11.04,Estrutura,8.12,Areia,0.39
CCbjj-8828,Belém,Siltoso,272,11.31,Acabamento,12.43,Areia,0.32
CCbjj-8829,Rio de Janeiro,Arenoso,152,7.38,Estrutura,12.91,Revestimento,0.56
CCbjj-8830,Belém,Arenoso,131,10.3,Fundação,10.5,Aço,0.67
CCbjj-8831,Porto Alegre,Siltoso,126,9.48,Fundação,10.99,Revestimento,0.55
CCbjj-8832,Belo Horizonte,Arenoso,266,7.85,Fundação,9.47,Tintas,0.79
CCbjj-8833,Belo Horizonte,Siltoso,99,8.59,Fundação,10.05,Piso,0.67
CCbjj-8834,Rio de Janeiro,Arenoso,155,6.52,Fundação,11.87,Cimento,0.49
CCbjj-8835,Recife,Rochoso,220,10.08,Acabamento,9.93,Cimento,0.72
CCbjj-8836,Salvador,Siltoso,132,8.65,Acabamento,8.66,Piso,0.86
CCbjj-8837,São Paulo,Rochoso,83,8.41,Fundação,11.18,Areia,0.33
CCbjj-8838,Recife,Arenoso,158,7.94,Acabamento,11.25,Brita,0.77
CCbjj-8839,São Paulo,Rochoso,68,6.15,Acabamento,9.04,Madeira,0.51
CCbjj-8840,Porto Alegre,Argiloso,238,8.07,Fundação,11.76,Revestimento,0.63
CCbjj-8841,Belo Horizonte,Arenoso,172,6.03,Fundação,11.34,Cimento,0.49
CCbjj-8842,Salvador,Siltoso,180,11.96,Estrutura,9.63,Brita,0.47
CCbjj-8843,Belo Horizonte,Siltoso,97,6.17,Estrutura,8.53,Madeira,0.89
CCbjj-8844,Curitiba,Siltoso,298,9.11,Acabamento,12.46,Areia,0.77
CCbjj-8845,Belém,Rochoso,290,8.26,Acabamento,11.75,Brita,0.88
CCbjj-8846,Recife,Rochoso,128,9.89,Fundação,8.14,Cimento,0.37
CCbjj-8847,Curitiba,Rochoso,294,11.41,Acabamento,9.09,Madeira,0.8
CCbjj-8848,São Paulo,Argiloso,125,9.3,Fundação,8.39,Brita,0.48
CCbjj-8849,Manaus,Arenoso,228,7.59,Estrutura,10.6,Piso,0.53
CCbjj-8850,Porto Alegre,Siltoso,276,6.72,Fundação,8.28,Aço,0.35
CCbjj-8851,Belo Horizonte,Rochoso,57,6.34,Fundação,12.63,Madeira,0.88
CCbjj-8852,Curitiba,Siltoso,183,9.08,Acabamento,12.19,Revestimento,0.63
CCbjj-8853,Salvador,Siltoso,100,11.12,Acabamento,12.69,Aço,0.78
CCbjj-8854,Rio de Janeiro,Rochoso,204,9.85,Estrutura,10.5,Cimento,0.72
CCbjj-8855,Belém,Siltoso,133,7.32,Fundação,12.84,Tintas,0.32
CCbjj-8856,Rio de Janeiro,Arenoso,149,7.6,Acabamento,10.03,Revestimento,0.64
CCbjj-8857,Curitiba,Arenoso,259,6.83,Fundação,9.67,Piso,0.55
CCbjj-8858,Rio de Janeiro,Siltoso,162,7.24,Estrutura,11.93,Piso,0.46
CCbjj-8859,Rio de Janeiro,Arenoso,81,11.18,Estrutura,12.0,Madeira,0.55
CCbjj-8860,Recife,Arenoso,124,11.07,Estrutura,8.71,Revestimento,0.36
CCbjj-8861,Porto Alegre,Argiloso,296,9.45,Acabamento,9.12,Cimento,0.75
CCbjj-8862,Recife,Rochoso,128,7.03,Fundação,12.1,Areia,0.55
CCbjj-8863,Manaus,Argiloso,68,9.73,Acabamento,9.17,Revestimento,0.37
CCbjj-8864,Rio de Janeiro,Argiloso,253,7.77,Acabamento,8.14,Aço,0.61
CCbjj-8865,Curitiba,Argiloso,181,6.05,Acabamento,12.51,Revestimento,0.83
CCbjj-8866,Manaus,Siltoso,64,8.39,Estrutura,12.66,Tintas,0.73
CCbjj-8867,Salvador,Arenoso,221,10.64,Fundação,9.33,Revestimento,0.57
CCbjj-8868,Rio de Janeiro,Siltoso,296,10.62,Estrutura,10.09,Brita,0.33
CCbjj-8869,Recife,Argiloso,290,9.16,Acabamento,9.62,Tintas,0.51
CCbjj-8870,Porto Alegre,Argiloso,274,6.42,Acabamento,8.34,Areia,0.68
CCbjj-8871,Belo Horizonte,Arenoso,131,7.85,Acabamento,8.99,Aço,0.5
CCbjj-8872,Porto Alegre,Rochoso,236,8.34,Fundação,11.64,Piso,0.54
CCbjj-8873,Fortaleza,Rochoso,201,7.97,Acabamento,8.59,Madeira,0.35
CCbjj-8874,Curitiba,Arenoso,169,9.24,Fundação,11.58,Piso,0.57
CCbjj-8875,São Paulo,Rochoso,127,9.44,Estrutura,12.45,Brita,0.52
CCbjj-8876,Manaus,Argiloso,157,9.95,Acabamento,10.96,Cimento,0.38
CCbjj-8877,Belo Horizonte,Rochoso,110,8.65,Fundação,9.5,Brita,0.35
CCbjj-8878,Belém,Siltoso,205,11.74,Fundação,11.64,Areia,0.39
CCbjj-8879,Belém,Rochoso,122,6.01,Acabamento,12.68,Areia,0.42
CCbjj-8880,Porto Alegre,Arenoso,156,6.38,Estrutura,9.19,Revestimento,0.57
CCbjj-8881,São Paulo,Argiloso,139,8.19,Estrutura,11.19,Tintas,0.61
CCbjj-8882,Belo Horizonte,Rochoso,103,11.34,Estrutura,8.93,Aço,0.81
CCbjj-8883,Porto Alegre,Siltoso,292,6.04,Acabamento,10.21,Revestimento,0.67
CCbjj-8884,Manaus,Arenoso,86,7.15,Acabamento,12.96,Tintas,0.69
CCbjj-8885,Curitiba,Argiloso,60,11.24,Fundação,9.96,Aço,0.71
CCbjj-8886,Porto Alegre,Rochoso,59,8.94,Fundação,11.21,Tintas,0.45
CCbjj-8887,Porto Alegre,Siltoso,283,7.24,Acabamento,9.55,Madeira,0.52
CCbjj-8888,Fortaleza,Arenoso,144,6.67,Fundação,8.79,Tintas,0.83
CCbjj-8889,Salvador,Siltoso,292,6.12,Estrutura,9.25,Cimento,0.84
CCbjj-8890,Salvador,Rochoso,89,8.22,Acabamento,11.68,Brita,0.47
CCbjj-8891,Manaus,Siltoso,228,9.9,Fundação,8.94,Revestimento,0.59
CCbjj-8892,Manaus,Arenoso,293,9.02,Estrutura,12.43,Aço,0.56
CCbjj-8893,Curitiba,Rochoso,182,6.05,Acabamento,9.26,Tintas,0.47
CCbjj-8894,Fortaleza,Argiloso,203,9.6,Estrutura,12.04,Aço,0.7
CCbjj-8895,Fortaleza,Argiloso,60,7.52,Estrutura,11.77,Piso,0.62
CCbjj-8896,Curitiba,Arenoso,186,7.36,Fundação,10.53,Revestimento,0.74
CCbjj-8897,Fortaleza,Arenoso,123,7.76,Acabamento,9.83,Cimento,0.78
CCbjj-8898,Fortaleza,Argiloso,184,10.5,Acabamento,10.93,Madeira,0.7
CCbjj-8899,Porto Alegre,Argiloso,155,9.76,Estrutura,12.36,Piso,0.5
CCbjj-8900,Manaus,Argiloso,195,10.54,Fundação,12.13,Areia,0.77
CCbjj-8901,Fortaleza,Argiloso,80,7.9,Estrutura,10.76,Madeira,0.56
CCbjj-8902,Fortaleza,Siltoso,53,7.41,Fundação,9.27,Madeira,0.74
CCbjj-8903,São Paulo,Arenoso,180,10.38,Acabamento,10.24,Madeira,0.4
CCbjj-8904,Curitiba,Rochoso,234,11.88,Acabamento,9.78,Tintas,0.66
CCbjj-8905,Recife,Siltoso,280,8.99,Fundação,11.19,Brita,0.78
CCbjj-8906,Belém,Argiloso,97,10.71,Acabamento,12.77,Cimento,0.35
CCbjj-8907,Porto Alegre,Argiloso,299,7.24,Estrutura,11.95,Piso,0.87
CCbjj-8908,Belo Horizonte,Arenoso,258,9.81,Estrutura,11.5,Tintas,0.57
CCbjj-8909,Porto Alegre,Arenoso,251,10.08,Estrutura,10.64,Brita,0.32
CCbjj-8910,São Paulo,Rochoso,95,8.91,Acabamento,10.14,Tintas,0.73
CCbjj-8911,Fortaleza,Argiloso,109,10.01,Fundação,10.59,Tintas,0.45
CCbjj-8912,Recife,Rochoso,63,10.32,Acabamento,8.08,Madeira,0.51
CCbjj-8913,Fortaleza,Rochoso,128,8.35,Acabamento,12.17,Piso,0.59
CCbjj-8914,Curitiba,Siltoso,122,9.15,Acabamento,12.72,Madeira,0.34
CCbjj-8915,Rio de Janeiro,Rochoso,116,6.87,Fundação,11.92,Tintas,0.4
CCbjj-8916,Belo Horizonte,Siltoso,236,10.92,Fundação,9.08,Aço,0.64
CCbjj-8917,Recife,Arenoso,140,9.46,Estrutura,10.51,Piso,0.37
CCbjj-8918,Curitiba,Siltoso,215,11.48,Fundação,11.72,Areia,0.84
CCbjj-8919,Porto Alegre,Rochoso,282,10.83,Acabamento,12.4,Brita,0.63
CCbjj-8920,Belém,Siltoso,277,11.3,Estrutura,10.53,Piso,0.36
CCbjj-8921,Salvador,Argiloso,101,10.77,Acabamento,11.03,Madeira,0.64
CCbjj-8922,Recife,Rochoso,105,7.1,Estrutura,10.54,Aço,0.8
CCbjj-8923,Rio de Janeiro,Argiloso,260,7.67,Estrutura,9.49,Areia,0.43
CCbjj-8924,São Paulo,Argiloso,52,10.98,Fundação,10.47,Cimento,0.66
CCbjj-8925,Rio de Janeiro,Argiloso,133,8.26,Fundação,8.63,Tintas,0.52
CCbjj-8926,Belo Horizonte,Arenoso,242,7.33,Acabamento,11.56,Revestimento,0.88
CCbjj-8927,Salvador,Arenoso,168,7.62,Fundação,10.12,Areia,0.35
CCbjj-8928,Fortaleza,Siltoso,251,6.29,Acabamento,9.49,Areia,0.32
CCbjj-8929,Salvador,Argiloso,251,6.59,Acabamento,11.43,Areia,0.5
CCbjj-8930,Salvador,Arenoso,73,10.9,Estrutura,9.18,Cimento,0.74
CCbjj-8931,Rio de Janeiro,Rochoso,164,9.12,Estrutura,8.84,Brita,0.8
CCbjj-8932,São Paulo,Siltoso,52,8.29,Acabamento,12.19,Aço,0.58
CCbjj-8933,Belo Horizonte,Rochoso,197,6.15,Fundação,11.09,Revestimento,0.46
CCbjj-8934,Curitiba,Rochoso,231,7.38,Estrutura,10.89,Areia,0.34
CCbjj-8935,Belo Horizonte,Argiloso,276,10.26,Estrutura,12.05,Areia,0.45
CCbjj-8936,Curitiba,Siltoso,250,10.38,Acabamento,8.66,Madeira,0.82
CCbjj-8937,São Paulo,Rochoso,113,6.59,Acabamento,8.49,Areia,0.75
CCbjj-8938,Porto Alegre,Arenoso,64,10.72,Acabamento,12.44,Tintas,0.81
CCbjj-8939,São Paulo,Argiloso,284,8.76,Estrutura,10.18,Areia,0.56
CCbjj-8940,Belo Horizonte,Siltoso,262,8.04,Acabamento,12.61,Tintas,0.32
CCbjj-8941,Belo Horizonte,Rochoso,58,11.54,Estrutura,10.8,Aço,0.56
CCbjj-8942,Porto Alegre,Arenoso,64,9.43,Fundação,8.94,Madeira,0.44
CCbjj-8943,Salvador,Siltoso,142,7.73,Estrutura,9.2,Brita,0.37
CCbjj-8944,Recife,Rochoso,199,10.2,Estrutura,8.17,Cimento,0.34
CCbjj-8945,São Paulo,Rochoso,198,9.53,Acabamento,12.67,Madeira,0.88
CCbjj-8946,Rio de Janeiro,Rochoso,192,8.17,Estrutura,12.72,Revestimento,0.64
CCbjj-8947,Fortaleza,Arenoso,225,7.27,Acabamento,11.39,Piso,0.76
CCbjj-8948,Curitiba,Rochoso,165,6.51,Acabamento,9.97,Aço,0.51
CCbjj-8949,Porto Alegre,Arenoso,170,10.37,Acabamento,9.7,Tintas,0.72
CCbjj-8950,Fortaleza,Rochoso,166,10.81,Estrutura,8.32,Piso,0.68
